Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity
WITHERHOARD,Exotic,Any,Kinetic,Grenade Launcher,60.0,,,48.0,33.0,84.0,46.0,6.0,90.0,,6.0,"[""Primeval's Torment"", 'Countermass', 'Black Powder', 'Break the Bank', 'Composite Stock', 'White Collar Crime', 'Drowned in Strife', 'Cedar and Ash', 'Splendid Vidua']",63.0,12.0,96.0,,,12.0,,,,,,
ACE OF SPADES,Exotic,Any,Kinetic,Hand Cannon,84.0,75.0,,40.0,42.0,70.0,56.0,14.0,140.0,,13.0,"['Memento Mori', 'Corkscrew Rifling', 'High-Caliber Rounds', 'Firefly', 'Smooth Grip', 'Big Blind', 'All In', 'The Vanguard Dare', 'Last Hand', 'Salute to the Colonel']",40.0,14.0,100.0,,,,,,,,,
CRIMSON,Exotic,Any,Kinetic,Hand Cannon,92.0,55.0,,45.0,60.0,75.0,100.0,15.0,415.0,,14.0,"['Banned Weapon', 'Smallbore', 'Accurized Rounds', 'Cruel Remedy', 'Heavy Grip', 'Silver Bullet', 'Iridescent Death', 'Black Death']",80.0,14.0,55.0,,,,,,,,,
HAWKMOON,Exotic,Any,Kinetic,Hand Cannon,84.0,52.0,,71.0,59.0,93.0,52.0,26.0,140.0,,8.0,"['Paracausal Shot', 'Corkscrew Rifling', 'Alloy Magazine', 'Transformative', 'Smooth Grip', 'Paracausal Shot', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Arrowhead Brake', 'Chambered Compensator', 'Full Bore', 'Alloy Magazine', 'Opening Shot', 'Rangefinder', 'Moving Target', 'Killing Wind', 'Eye of the Storm', 'Surplus', 'Snapshot Sights', 'Hip-Fire Grip', 'Quickdraw', 'Heavy Grip', 'Polymer Grip', 'Smooth Grip', 'Combat Grip', 'Textured Grip', 'On Ashen Wings', 'Feeling Lucky', 'Austroraptor']",63.0,14.0,96.0,,,,,,,,,
LUMINA,Exotic,Any,Kinetic,Hand Cannon,84.0,53.0,,71.0,61.0,88.0,58.0,27.0,140.0,,13.0,"['Noble Rounds', 'Chambered Compensator', 'Accurized Rounds', 'Blessing of the Sky', 'Polymer Grip', 'Lucid Melody']",50.0,14.0,95.0,,,,,,,,,
MALFEASANCE,Exotic,Any,Kinetic,Hand Cannon,78.0,40.0,,29.0,80.0,50.0,57.0,53.0,180.0,,14.0,"['Explosive Shadow', 'Corkscrew Rifling', 'Extended Mag', 'Taken Predator', 'Heavy Grip', 'Aim to Misbehave', 'Red String of Fate', 'The Pink Mist']",80.0,14.0,98.0,,,,,,,,,
STURM,Exotic,Any,Kinetic,Hand Cannon,92.0,60.0,,40.0,50.0,50.0,30.0,12.0,120.0,,9.0,"['Accomplice', 'Extended Barrel', 'Extended Mag', 'Storm and Stress', 'Combat Grip', 'Symbiosis', 'Sudden Squall', 'Dream of a New World']",51.0,14.0,80.0,,,,,,,,,
THE LAST WORD,Exotic,Any,Kinetic,Hand Cannon,78.0,20.0,,20.0,80.0,40.0,40.0,19.0,225.0,,8.0,"['Fan Fire', 'Corkscrew Rifling', 'Accurized Rounds', 'Hip-Fire Grip', 'Textured Grip', 'Laconic', 'Heated Exchange', 'The Stagecoach', 'End of an Era']",40.0,11.0,100.0,,,,,,,,,
THORN,Exotic,Any,Kinetic,Hand Cannon,84.0,34.0,,65.0,40.0,85.0,60.0,21.0,140.0,,11.0,"['Mark of the Devourer', 'Corkscrew Rifling', 'Accurized Rounds', 'Soul Devourer', 'Textured Grip', 'Wishes of Sorrow', 'Heretic Robe', 'For the King']",55.0,14.0,100.0,,,,,,,,,
ARBALEST,Exotic,Any,Kinetic,Linear Fusion Rifle,41.0,36.0,,25.0,28.0,31.0,34.0,12.0,,533.0,5.0,"['Compounding Force', 'Extended Barrel', 'Projection Fuse', 'Disruption Break', 'Composite Stock', 'Barren Wastes', 'Violent Exorcism', 'Electromagnetic Execution']",50.0,25.0,77.0,,,,,,,,,
BAD JUJU,Exotic,Any,Kinetic,Pulse Rifle,27.0,35.0,,41.0,47.0,60.0,15.0,28.0,450.0,,27.0,"['String of Curses', 'Hammer-Forged Rifling', 'Steady Rounds', 'Hip-Fire Grip', 'Short-Action Stock', 'Aurelian Decree', 'Beast Magic']",62.0,17.0,85.0,,,,,,,,,
NO TIME TO EXPLAIN,Exotic,Any,Kinetic,Pulse Rifle,33.0,70.0,,42.0,60.0,40.0,57.0,24.0,340.0,,24.0,"['Rewind Again', 'Fluted Barrel', 'Accurized Rounds', 'Time-Slip', 'Full Auto Trigger System', 'Frozen In Time', 'Golden Days']",55.0,17.0,73.0,,,,,,,,,
OUTBREAK PERFECTED,Exotic,Any,Kinetic,Pulse Rifle,27.0,44.0,,45.0,45.0,65.0,54.0,29.0,450.0,,34.0,"['The Corruption Spreads', 'Extended Barrel', 'Accurized Rounds', 'Outlaw', 'Parasitism', 'Patient Zero', 'Pandemic', 'Mercurial Affliction', 'Matterscourge']",40.0,17.0,80.0,,,,,,,,,
VIGILANCE WING,Exotic,Any,Kinetic,Pulse Rifle,33.0,60.0,,33.0,40.0,60.0,55.0,21.0,530.0,,30.0,"['Harsh Truths', 'Corkscrew Rifling', 'Alloy Magazine', 'Last Stand', 'Composite Stock', 'Book of the Dead', ""Heaven's Vigil"", 'Vigil for Saint-14']",60.0,17.0,79.0,,,,,,,,,
DEAD MAN'S TALE,Exotic,Any,Kinetic,Scout Rifle,67.0,60.0,,50.0,50.0,60.0,55.0,17.0,120.0,,14.0,"['Cranial Spike', 'Fluted Barrel', 'Accurized Rounds', 'Transformative', 'Hand-Laid Stock', 'Cranial Spike', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Smallbore', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Extended Barrel', 'Full Bore', 'Flared Magwell', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag', 'Armor-Piercing Rounds', 'Accurized Rounds', 'Steady Rounds', 'Subsistence', 'Outlaw', 'Vorpal Weapon', ""Fourth Time's the Charm"", 'Killing Wind', 'Snapshot Sights', 'Moving Target', 'Composite Stock', 'Fitted Stock', 'Hand-Laid Stock', 'Short-Action Stock', 'Burial Wrap', 'Remembrance', ""Dead Man's Revenge""]",30.0,18.0,89.0,,,,,,,,,
MIDA MULTI-TOOL,Exotic,Any,Kinetic,Scout Rifle,60.0,35.0,,80.0,80.0,100.0,60.0,25.0,200.0,,16.0,"['MIDA Multi-Tool', 'Corkscrew Rifling', 'High-Caliber Rounds', 'MIDA Radar', 'Hand-Laid Stock', 'Titanium Alloy', 'MIDA Tactical', 'Desert Camo', 'Digital Ops']",30.0,20.0,80.0,,,,,,,,,
THE JADE RABBIT,Exotic,Any,Kinetic,Scout Rifle,67.0,80.0,,21.0,54.0,60.0,30.0,29.0,150.0,,10.0,"['The Fate of All Fools', 'Polygonal Rifling', 'High-Caliber Rounds', 'Zen Moment', 'Jade Jester', 'Raging Lepus', 'Qingming Offering']",40.0,20.0,100.0,,,,,,,,,
TOUCH OF MALICE,Exotic,Any,Kinetic,Scout Rifle,45.0,53.0,,40.0,46.0,40.0,58.0,25.0,260.0,,11.0,"['Touch of Malice', 'Polygonal Rifling', 'Flared Magwell', 'Charged with Blight', 'Hand-Laid Stock', 'Threatening Breath']",36.0,20.0,85.0,,,,,,,,,
THE CHAPERONE,Exotic,Any,Kinetic,Shotgun,75.0,100.0,,80.0,30.0,70.0,45.0,1.0,70.0,,6.0,"['Precision Slug', 'Hammer-Forged Rifling', 'Accurized Rounds', 'The Roadborn', 'Hand-Laid Stock', 'Guardian Angel', 'The Panama Ravine', ""Ain't My First Rodeo"", 'The Queensguard']",20.0,12.0,50.0,,,,,,,,,
CRYOSTHESIA 77K,Exotic,Any,Kinetic,Sidearm,51.0,72.0,,37.0,46.0,93.0,50.0,28.0,260.0,,12.0,"['LN2 Burst', 'Polygonal Rifling', 'Particle Repeater', 'Liquid Cooling', 'Polymer Grip', 'Deletion Protocol']",41.0,12.0,92.0,,,,,,,,,
FORERUNNER,Exotic,Any,Kinetic,Sidearm,35.0,100.0,,60.0,80.0,60.0,56.0,30.0,200.0,,15.0,"['Full Stop', 'Smallbore', 'Flared Magwell', 'Pace Yourself', 'Smooth Grip', 'BrayTech M6', 'Gilded Honors']",70.0,20.0,96.0,,,,,,,,,
RAT KING,Exotic,Any,Kinetic,Sidearm,49.0,30.0,,40.0,40.0,60.0,80.0,31.0,300.0,,15.0,"['Rat Pack', 'Smallbore', 'Tactical Mag', 'Vermin', 'Smooth Grip', 'Black Plague', 'Catacombs', 'Climate Change']",40.0,12.0,80.0,,,,,,,,,
TRAVELER'S CHOSEN,Exotic,Any,Kinetic,Sidearm,49.0,80.0,,54.0,40.0,80.0,44.0,35.0,300.0,,15.0,"['Gathering Light', 'QuickDot SAS', 'Armor-Piercing Rounds', 'Gift of the Traveler', 'Short-Action Stock', 'Sand and Sun', 'Conscripted', 'Dream of the Sky']",65.0,12.0,85.0,,,,,,,,,
IZANAGI'S BURDEN,Exotic,Any,Kinetic,Sniper Rifle,70.0,48.0,,47.0,40.0,62.0,60.0,6.0,90.0,,4.0,"['Honed Edge', 'Chambered Compensator', 'Accurized Rounds', 'No Distractions', 'Composite Stock', 'Ronin', 'Father of Islands', 'Worldshaper']",41.0,45.0,73.0,,,,,,,,,
OSTEO STRIGA,Exotic,Any,Kinetic,Submachine Gun,25.0,80.0,,26.0,18.0,55.0,30.0,27.0,600.0,,27.0,"['Screaming Swarm', 'Toxic Overload', 'Screaming Swarm', 'Polygonal Rifling', 'Chambered Compensator', 'Full Bore', 'Corkscrew Rifling', 'Fluted Barrel', 'Extended Barrel', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Smallbore', 'Steady Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell', 'Accurized Rounds', 'Toxic Overload', 'Hand-Laid Stock', 'Composite Stock', 'Fitted Stock', 'Short-Action Stock', 'Empty Catalyst Socket', 'Osteo Striga Catalyst', 'Osteo Striga Catalyst', 'Brilliant Bloom']",37.0,13.0,99.0,,,,,,,,,
THE HUCKLEBERRY,Exotic,Any,Kinetic,Submachine Gun,22.0,48.0,,56.0,0.0,49.0,100.0,33.0,750.0,,37.0,"['Ride the Bull', 'Fluted Barrel', 'Ricochet Rounds', 'Rampage', 'Short-Action Stock', ""The Devil's Work"", 'Snakebite']",36.0,15.0,100.0,,,,,,,,,
AGER'S SCEPTER,Exotic,Any,Kinetic,Trace Rifle,6.0,69.0,,52.0,55.0,100.0,44.0,15.0,1000.0,,97.0,"[""Ager's Call"", 'Arrowhead Brake', 'Particle Repeater', ""Rega's Refrain"", 'Hand-Laid Stock', 'Symbol of Rule', 'Springtime Scales']",79.0,16.0,96.0,,,,,,,,,
HARD LIGHT,Exotic,Any,Energy,Auto Rifle,21.0,40.0,,72.0,64.0,100.0,40.0,31.0,600.0,,49.0,"['Volatile Light', 'Polygonal Rifling', 'Alloy Magazine', 'The Fundamentals', 'Composite Stock', 'The Future is Chrome', 'Lethal System', 'Brumal Dawn', 'Foundational Structure']",65.0,16.0,100.0,,,,,,,,,
TOMMY'S MATCHBOOK,Exotic,Any,Energy,Auto Rifle,18.0,43.0,,58.0,20.0,81.0,56.0,26.0,720.0,,72.0,"['Ignition Trigger', 'Hammer-Forged Rifling', 'Extended Mag', 'Heat Sink', 'Hand-Laid Stock', 'The Chopper']",44.0,16.0,64.0,,,,,,,,,
LE MONARQUE,Exotic,Any,Energy,Combat Bow,76.0,,,54.0,40.0,70.0,56.0,18.0,,,,"['Poison Arrows', 'Natural String', 'Compact Arrow Shaft', 'Snapshot Sights', 'Poison Wings Spread']",46.0,18.0,78.0,73.0,684.0,,,,,,,
TICUU'S DIVINATION,Exotic,Any,Energy,Combat Bow,68.0,,,66.0,60.0,79.0,65.0,23.0,,,,"['Sacred Flame', 'Tactile String', 'Straight Fletching', 'Causality Arrows', 'Hasta Solari', 'Ferromancer']",52.0,18.0,60.0,32.0,580.0,,,,,,,
TRINITY GHOUL,Exotic,Any,Energy,Combat Bow,80.0,,,53.0,50.0,74.0,52.0,24.0,,,,"['Split Electron', 'High Tension String', 'Compact Arrow Shaft', 'Lightning Rod', 'Tangled Outrider', 'Tertiary Objective', 'Spark from Bone']",50.0,18.0,77.0,80.0,720.0,,,,,,,
DELICATE TOMB,Exotic,Any,Energy,Fusion Rifle,55.0,29.0,,56.0,48.0,35.0,55.0,6.0,,500.0,6.0,"[""Traitor's Vessel"", 'Fluted Barrel', 'Liquid Coils', 'Tempest Cascade', 'Short-Action Stock', 'Avant-Garde Mausoleum']",32.0,15.0,95.0,,,,,,,,,
J�TUNN,Exotic,Any,Energy,Fusion Rifle,95.0,47.0,,26.0,23.0,67.0,26.0,8.0,,820.0,5.0,"['Charge Shot', 'Volatile Launch', 'Liquid Coils', 'Shield Disorient', 'Polymer Grip', 'Dreamchaser', 'Muspell Populuxe']",23.0,15.0,77.0,,,,,,,,,
MERCILESS,Exotic,Any,Energy,Fusion Rifle,75.0,39.0,,41.0,43.0,69.0,55.0,15.0,,1000.0,8.0,"['Conserve Momentum', 'Chambered Compensator', 'Extended Mag', 'Impetus', 'Fitted Stock', 'Break the Dawn', 'Beachheader VI']",32.0,15.0,64.0,,,,,,,,,
TELESTO,Exotic,Any,Energy,Fusion Rifle,85.0,25.0,,52.0,80.0,46.0,55.0,9.0,,820.0,4.0,"['Unplanned Reprieve', 'Projection Fuse', ""Harbinger's Pulse"", 'Polymer Grip', 'Reef in Ruins', 'Dread from Below', 'Long Live the Queen']",79.0,20.0,66.0,,,,,,,,,
VEX MYTHOCLAST,Exotic,Any,Energy,Fusion Rifle,33.0,85.0,,50.0,60.0,75.0,40.0,19.0,390.0,,25.0,"['Timeless Mythoclast', 'Arrowhead Brake', 'Volatile Battery', 'Temporal Unlimiter', 'Hand-Laid Stock', 'The Untold Tale', 'Clast of Its Own']",30.0,15.0,80.0,,,,,,,,,
DEAD MESSENGER,Exotic,Any,Energy,Grenade Launcher,,,,40.0,50.0,78.0,70.0,6.0,72.0,,1.0,"['Trinary Vision', 'Quick Launch', 'High-Velocity Rounds', 'The Fundamentals', 'Short-Action Stock', 'Molten']",27.0,13.0,73.0,,,73.0,100.0,,,,,
FIGHTING LION,Exotic,Any,Energy,Grenade Launcher,,,,80.0,0.0,80.0,0.0,12.0,90.0,,1.0,"['Delayed Gratification', 'Countermass', 'Implosion Rounds', 'Thin the Herd', 'Short-Action Stock', 'Jade Countenance', 'Lupus Visage', 'Prideglass']",50.0,13.0,60.0,,,40.0,100.0,,,,,
ERIANA'S VOW,Exotic,Any,Energy,Hand Cannon,100.0,100.0,,23.0,24.0,80.0,0.0,9.0,90.0,,6.0,"['Looks Can Kill', 'Extended Barrel', 'Accurized Rounds', 'Death at First Glance', 'Polymer Grip', 'For Wei', 'Bound by Oath']",30.0,24.0,100.0,,,,,,,,,
SUNSHOT,Exotic,Any,Energy,Hand Cannon,80.0,31.0,,81.0,72.0,60.0,53.0,27.0,150.0,,12.0,"['Sunburn', 'Chambered Compensator', 'Accurized Rounds', 'Sun Blast', 'Textured Grip', 'Red Dwarf', 'Quark Star', 'Burning Red']",40.0,14.0,98.0,,,,,,,,,
LORENTZ DRIVER,Exotic,Any,Energy,Linear Fusion Rifle,41.0,38.0,,25.0,28.0,22.0,35.0,1.0,,533.0,6.0,"['Lagrangian Sight', 'Arrowhead Brake', 'Enhanced Battery', 'EM Anomaly', 'Composite Stock', 'Stable Prototype']",47.0,25.0,79.0,,,,,,,,,
COLLECTIVE OBLIGATION,Exotic,Any,Energy,Pulse Rifle,29.0,49.0,,41.0,41.0,67.0,58.0,26.0,390.0,,36.0,"['Void Leech', 'Arrowhead Brake', 'Flared Magwell', 'Umbral Sustenance', 'Hand-Laid Stock', 'In Finality']",55.0,17.0,76.0,,,,,,,,,
GRAVITON LANCE,Exotic,Any,Energy,Pulse Rifle,29.0,50.0,,54.0,57.0,60.0,60.0,27.0,257.0,,31.0,"['Black Hole', 'Hammer-Forged Rifling', 'Accurized Rounds', 'Cosmology', 'Fitted Stock', 'Particle Accelerator', 'Carina Nebula', 'General Relativity']",100.0,17.0,65.0,,,,,,,,,
POLARIS LANCE,Exotic,Any,Energy,Scout Rifle,67.0,70.0,,29.0,33.0,39.0,55.0,27.0,150.0,,14.0,"['The Perfect Fifth', 'Smallbore', 'Tactical Mag', 'Zen Moment', 'Fitted Stock', 'The Bray Legacy', 'IKELOS Field Tuning']",50.0,21.0,77.0,,,,,,,,,
SKYBURNER'S OATH,Exotic,Any,Energy,Scout Rifle,67.0,70.0,,60.0,50.0,90.0,60.0,35.0,150.0,,17.0,"['Slug Rifle', 'Extended Barrel', 'Extended Mag', 'For the Empire', 'Short-Action Stock', 'Beware the Red Legion', ""Calus's Promise"", 'Honor of the Empress']",50.0,21.0,100.0,,,,,,,,,
SYMMETRY,Exotic,Any,Energy,Scout Rifle,45.0,20.0,,31.0,15.0,75.0,60.0,23.0,260.0,,20.0,"['Revolution', 'Hammer-Forged Rifling', 'Particle Repeater', 'Dynamic Charge', 'Composite Stock', 'Skyline Constellation', 'Binary System']",49.0,20.0,85.0,,,,,,,,,
DUALITY,Exotic,Any,Energy,Shotgun,80.0,70.0,,60.0,1.0,65.0,70.0,6.0,65.0,,6.0,"['Compression Chamber', 'Corkscrew Rifling', 'Alloy Magazine', 'On Black Wings', 'Short-Action Stock', 'Antiquity', 'Binary Function']",45.0,12.0,78.0,,,,,,,,,
LORD OF WOLVES,Exotic,Any,Energy,Shotgun,68.0,20.0,,40.0,80.0,80.0,100.0,4.0,640.0,,5.0,"['Shrapnel Launcher', 'Chambered Compensator', 'Extended Mag', 'Release the Wolves', 'Composite Stock', ""Packmaster's Command"", 'Splice of Life']",39.0,12.0,80.0,,,,,,,,,
THE FOURTH HORSEMAN,Exotic,Any,Energy,Shotgun,80.0,22.0,,28.0,36.0,39.0,0.0,6.0,360.0,,4.0,"['Thunderer', 'Arrowhead Brake', 'Assault Mag', 'Broadside', 'Fitted Stock', 'Death Comes Calling', 'Pale Rider']",19.0,12.0,63.0,,,,,,,,,
DEVIL'S RUIN,Exotic,Any,Energy,Sidearm,49.0,40.0,,49.0,15.0,56.0,64.0,23.0,300.0,1000.0,15.0,"['Close the Gap', 'Extended Barrel', 'Projection Fuse', 'Pyrogenesis', 'Combat Grip', ""Devil's Advocate""]",65.0,12.0,100.0,,,,,,,,,
TRESPASSER,Exotic,Any,Energy,Sidearm,75.0,39.0,,53.0,33.0,70.0,50.0,29.0,491.0,,30.0,"['Unrepentant', 'Full Bore', 'Ricochet Rounds', 'Be the Danger', 'Smooth Grip', 'One False Step']",85.0,12.0,100.0,,,,,,,,,
BOREALIS,Exotic,Any,Energy,Sniper Rifle,90.0,49.0,,70.0,65.0,65.0,55.0,12.0,72.0,,4.0,"['The Fundamentals', 'Corkscrew Rifling', 'Extended Mag', 'Ionic Return', 'Hand-Laid Stock', 'Synesthesia', 'Ultraviolet']",47.0,45.0,55.0,,,,,,,,,
CLOUDSTRIKE,Exotic,Any,Energy,Sniper Rifle,55.0,60.0,,46.0,40.0,68.0,70.0,7.0,140.0,,7.0,"['Mortal Polarity', 'Fluted Barrel', 'Alloy Magazine', 'Stormbringer', 'Hand-Laid Stock', 'The Old Ways', 'Leyden Lance']",49.0,50.0,68.0,,,,,,,,,
RISKRUNNER,Exotic,Any,Energy,Submachine Gun,20.0,50.0,,46.0,35.0,50.0,50.0,31.0,900.0,,37.0,"['Arc Conductor', 'Arrowhead Brake', 'Extended Mag', 'Superconductor', 'Short-Action Stock', 'Summer Storm', 'Electric Violet', 'Third Rail', 'Cheerspreader']",55.0,13.0,94.0,,,,,,,,,
TARRABAH,Exotic,Any,Energy,Submachine Gun,22.0,43.0,,50.0,35.0,40.0,100.0,23.0,750.0,,31.0,"['Ravenous Beast', 'Extended Barrel', 'Armor-Piercing Rounds', 'Bottomless Appetite', 'Hand-Laid Stock', 'Voracious']",20.0,16.0,90.0,,,,,,,,,
COLDHEART,Exotic,Any,Energy,Trace Rifle,6.0,60.0,,35.0,30.0,100.0,60.0,14.0,1000.0,,95.0,"['Cold Fusion', 'Extended Barrel', 'Enhanced Battery', 'Longest Winter', 'Hand-Laid Stock', 'Sub-Zero', 'Pride of Omolon', 'Theoretical Endothermics']",60.0,16.0,90.0,,,,,,,,,
DIVINITY,Exotic,Any,Energy,Trace Rifle,6.0,67.0,,51.0,45.0,100.0,50.0,17.0,1000.0,,94.0,"['Judgment', 'Polygonal Rifling', 'Particle Repeater', 'Penance', 'Composite Stock', 'Sky/Perdition', 'Atropos']",76.0,16.0,100.0,,,,,,,,,
PROMETHEUS LENS,Exotic,Any,Energy,Trace Rifle,6.0,60.0,,35.0,40.0,100.0,100.0,16.0,1000.0,,100.0,"['Prismatic Inferno', 'Chambered Compensator', 'Projection Fuse', 'Flame Refraction', 'Composite Stock', 'Eye of Osiris', 'Prism', ""Haetae's Judgment"", 'Felsic Pyroclasm']",45.0,16.0,90.0,,,,,,,,,
RUINOUS EFFIGY,Exotic,Any,Energy,Trace Rifle,8.0,35.0,,48.0,33.0,84.0,46.0,16.0,1000.0,,94.0,"['Transmutation', 'Hammer-Forged Rifling', 'Particle Repeater', 'Evolution', 'Composite Stock', 'Equinox', 'Ashen Icon']",63.0,12.0,96.0,,,,,,,,,
WAVESPLITTER,Exotic,Any,Energy,Trace Rifle,6.0,67.0,,51.0,45.0,100.0,50.0,14.0,1000.0,,94.0,"['Harmonic Laser', 'Polygonal Rifling', 'Enhanced Battery', 'Supercharged Battery', 'Fitted Stock', 'Pseudoscience']",76.0,16.0,100.0,,,,,,,,,
LEVIATHAN'S BREATH,Exotic,Any,Power,Combat Bow,60.0,,,0.0,0.0,66.0,10.0,17.0,,,,"['Big-Game Hunter', 'Chain Bowstring', 'Fiberglass Arrow Shaft', ""Leviathan's Sigh"", 'Bad Dog', 'Grimmest Hunter']",0.0,20.0,75.0,64.0,1328.0,,,,,,,
ONE THOUSAND VOICES,Exotic,Any,Power,Fusion Rifle,100.0,100.0,,0.0,30.0,100.0,80.0,6.0,,1000.0,4.0,"[""Ahamkara's Eye"", 'Extended Barrel', 'Liquid Coils', 'Unforeseen Repercussions', 'Fitted Stock', 'One Terrible Scream', ""Scrimshander's Song""]",40.0,25.0,100.0,,,,,,,,,
ANARCHY,Exotic,Any,Power,Grenade Launcher,,,,59.0,63.0,69.0,0.0,20.0,150.0,,6.0,"['Arc Traps', 'Quick Launch', 'High-Velocity Rounds', 'Moving Target', 'Composite Stock', 'Uniocracy', 'Compliance']",60.0,13.0,50.0,,,100.0,70.0,,,,,
