weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks/0,Perks/1,Perks/2,Perks/3,Perks/4,Perks/5,Perks/6,Perks/7,Perks/8,Perks/9,Perks/10,Perks/11,Perks/12,Perks/13,Perks/14,Perks/15,Perks/16,Perks/17,Perks/18,Perks/19,Perks/20,Perks/21,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Perks/22,Perks/23,Perks/24,Perks/25,Perks/26,Perks/27,Perks/28,Perks/29,Perks/30,Perks/31,Perks/32,Perks/33,Perks/34,Perks/35,Perks/36,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity,Perks/37,Perks/38,Perks/39,Perks/40,Perks/41,Perks/42,Perks/43,Perks/44,Perks/45,Perks/46,Perks/47,Perks/48,Perks/49,Perks/50,Perks/51,Perks/52,Perks/53,Perks/54,Perks/55,Perks/56,Perks/57,Perks/58,Perks/59,Perks/60,Perks/61,Perks/62,Perks/63,Perks/64,Perks/65,Perks/66
2357297366,WITHERHOARD,Exotic,Any,Kinetic,Grenade Launcher,60,,,48,33,84,46,6,90,,6,Primeval's Torment,Countermass,Black Powder,Break the Bank,Composite Stock,White Collar Crime,Drowned in Strife,Cedar and Ash,Splendid Vidua,,,,,,,,,,,,,,63,12,96,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347366834,ACE OF SPADES,Exotic,Any,Kinetic,Hand Cannon,84,75,,40,42,70,56,14,140,,13,Memento Mori,Corkscrew Rifling,High-Caliber Rounds,Firefly,Smooth Grip,Big Blind,All In,The Vanguard Dare,Last Hand,Salute to the Colonel,,,,,,,,,,,,,40,14,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437746471,CRIMSON,Exotic,Any,Kinetic,Hand Cannon,92,55,,45,60,75,100,15,415,,14,Banned Weapon,Smallbore,Accurized Rounds,Cruel Remedy,Heavy Grip,Silver Bullet,Iridescent Death,Black Death,,,,,,,,,,,,,,,80,14,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3856705927,HAWKMOON,Exotic,Any,Kinetic,Hand Cannon,84,52,,71,59,93,52,26,140,,8,Paracausal Shot,Corkscrew Rifling,Alloy Magazine,Transformative,Smooth Grip,Paracausal Shot,Corkscrew Rifling,Extended Barrel,Fluted Barrel,Hammer-Forged Rifling,Polygonal Rifling,Smallbore,Arrowhead Brake,Chambered Compensator,Full Bore,Alloy Magazine,Opening Shot,Rangefinder,Moving Target,Killing Wind,Eye of the Storm,Surplus,63,14,96,,,,Snapshot Sights,Hip-Fire Grip,Quickdraw,Heavy Grip,Polymer Grip,Smooth Grip,Combat Grip,Textured Grip,On Ashen Wings,Feeling Lucky,Austroraptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3512014804,LUMINA,Exotic,Any,Kinetic,Hand Cannon,84,53,,71,61,88,58,27,140,,13,Noble Rounds,Chambered Compensator,Accurized Rounds,Blessing of the Sky,Polymer Grip,Lucid Melody,,,,,,,,,,,,,,,,,50,14,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204878059,MALFEASANCE,Exotic,Any,Kinetic,Hand Cannon,78,40,,29,80,50,57,53,180,,14,Explosive Shadow,Corkscrew Rifling,Extended Mag,Taken Predator,Heavy Grip,Aim to Misbehave,Red String of Fate,The Pink Mist,,,,,,,,,,,,,,,80,14,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907129556,STURM,Exotic,Any,Kinetic,Hand Cannon,92,60,,40,50,50,30,12,120,,9,Accomplice,Extended Barrel,Extended Mag,Storm and Stress,Combat Grip,Symbiosis,Sudden Squall,Dream of a New World,,,,,,,,,,,,,,,51,14,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364093401,THE LAST WORD,Exotic,Any,Kinetic,Hand Cannon,78,20,,20,80,40,40,19,225,,8,Fan Fire,Corkscrew Rifling,Accurized Rounds,Hip-Fire Grip,Textured Grip,Laconic,Heated Exchange,The Stagecoach,End of an Era,,,,,,,,,,,,,,40,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973202132,THORN,Exotic,Any,Kinetic,Hand Cannon,84,34,,65,40,85,60,21,140,,11,Mark of the Devourer,Corkscrew Rifling,Accurized Rounds,Soul Devourer,Textured Grip,Wishes of Sorrow,Heretic Robe,For the King,,,,,,,,,,,,,,,55,14,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130065553,ARBALEST,Exotic,Any,Kinetic,Linear Fusion Rifle,41,36,,25,28,31,34,12,,533,5,Compounding Force,Extended Barrel,Projection Fuse,Disruption Break,Composite Stock,Barren Wastes,Violent Exorcism,Electromagnetic Execution,,,,,,,,,,,,,,,50,25,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816212794,BAD JUJU,Exotic,Any,Kinetic,Pulse Rifle,27,35,,41,47,60,15,28,450,,27,String of Curses,Hammer-Forged Rifling,Steady Rounds,Hip-Fire Grip,Short-Action Stock,Aurelian Decree,Beast Magic,,,,,,,,,,,,,,,,62,17,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594120904,NO TIME TO EXPLAIN,Exotic,Any,Kinetic,Pulse Rifle,33,70,,42,60,40,57,24,340,,24,Rewind Again,Fluted Barrel,Accurized Rounds,Time-Slip,Feeding Frenzy,Frozen In Time,Golden Days,,,,,,,,,,,,,,,,55,17,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400096939,OUTBREAK PERFECTED,Exotic,Any,Kinetic,Pulse Rifle,27,44,,45,45,65,54,29,450,,34,The Corruption Spreads,Extended Barrel,Accurized Rounds,Outlaw,Parasitism,Patient Zero,Pandemic,Mercurial Affliction,Matterscourge,,,,,,,,,,,,,,40,17,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628991659,VIGILANCE WING,Exotic,Any,Kinetic,Pulse Rifle,33,60,,33,40,60,55,21,530,,30,Harsh Truths,Corkscrew Rifling,Alloy Magazine,Last Stand,Composite Stock,Book of the Dead,Heaven's Vigil,Vigil for Saint-14,,,,,,,,,,,,,,,60,17,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654674561,DEAD MAN'S TALE,Exotic,Any,Kinetic,Scout Rifle,67,60,,50,50,60,55,17,120,,14,Cranial Spike,Fluted Barrel,Accurized Rounds,Transformative,Hand-Laid Stock,Cranial Spike,Chambered Compensator,Corkscrew Rifling,Fluted Barrel,Polygonal Rifling,Smallbore,Hammer-Forged Rifling,Arrowhead Brake,Extended Barrel,Full Bore,Flared Magwell,High-Caliber Rounds,Ricochet Rounds,Light Mag,Armor-Piercing Rounds,Accurized Rounds,Steady Rounds,30,18,89,,,,Subsistence,Outlaw,Vorpal Weapon,Fourth Time's the Charm,Killing Wind,Snapshot Sights,Moving Target,Composite Stock,Fitted Stock,Hand-Laid Stock,Short-Action Stock,Burial Wrap,Remembrance,Dead Man's Revenge,Noble Burden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331482397,MIDA MULTI-TOOL,Exotic,Any,Kinetic,Scout Rifle,60,35,,80,80,100,60,25,200,,16,MIDA Multi-Tool,Corkscrew Rifling,High-Caliber Rounds,MIDA Radar,Hand-Laid Stock,Titanium Alloy,MIDA Tactical,Desert Camo,Digital Ops,,,,,,,,,,,,,,30,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3844694310,THE JADE RABBIT,Exotic,Any,Kinetic,Scout Rifle,67,80,,21,54,60,30,29,150,,10,The Fate of All Fools,Polygonal Rifling,High-Caliber Rounds,Zen Moment,Jade Jester,Raging Lepus,Qingming Offering,,,,,,,,,,,,,,,,40,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802135586,TOUCH OF MALICE,Exotic,Any,Kinetic,Scout Rifle,45,53,,40,46,40,58,25,260,,11,Touch of Malice,Polygonal Rifling,Flared Magwell,Charged with Blight,Hand-Laid Stock,Threatening Breath,,,,,,,,,,,,,,,,,36,20,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413860062,THE CHAPERONE,Exotic,Any,Kinetic,Shotgun,75,100,,80,30,70,45,1,70,,6,Precision Slug,Hammer-Forged Rifling,Accurized Rounds,The Roadborn,Hand-Laid Stock,Guardian Angel,The Panama Ravine,Ain't My First Rodeo,The Queensguard,,,,,,,,,,,,,,20,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603721696,CRYOSTHESIA 77K,Exotic,Any,Kinetic,Sidearm,51,72,,37,46,93,50,28,260,,12,LN2 Burst,Polygonal Rifling,Particle Repeater,Liquid Cooling,Polymer Grip,Deletion Protocol,,,,,,,,,,,,,,,,,41,12,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179048386,FORERUNNER,Exotic,Any,Kinetic,Sidearm,35,100,,60,80,60,56,30,200,,15,Full Stop,Smallbore,Flared Magwell,Pace Yourself,Smooth Grip,BrayTech M6,Gilded Honors,,,,,,,,,,,,,,,,70,20,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362471601,RAT KING,Exotic,Any,Kinetic,Sidearm,49,30,,40,40,60,80,31,300,,15,Rat Pack,Smallbore,Tactical Mag,Vermin,Smooth Grip,Black Plague,Catacombs,Climate Change,,,,,,,,,,,,,,,40,12,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853180924,TRAVELER'S CHOSEN,Exotic,Any,Kinetic,Sidearm,49,80,,54,40,80,44,35,300,,15,Gathering Light,QuickDot SAS,Armor-Piercing Rounds,Gift of the Traveler,Short-Action Stock,Sand and Sun,Conscripted,Dream of the Sky,,,,,,,,,,,,,,,65,12,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211806999,IZANAGI'S BURDEN,Exotic,Any,Kinetic,Sniper Rifle,70,48,,47,40,62,60,6,90,,4,Honed Edge,Chambered Compensator,Accurized Rounds,No Distractions,Composite Stock,Ronin,Father of Islands,Worldshaper,,,,,,,,,,,,,,,41,45,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46524085,OSTEO STRIGA,Exotic,Any,Kinetic,Submachine Gun,25,80,,26,18,55,30,27,600,,27,Screaming Swarm,Toxic Overload,Screaming Swarm,Polygonal Rifling,Chambered Compensator,Full Bore,Corkscrew Rifling,Fluted Barrel,Extended Barrel,Hammer-Forged Rifling,Arrowhead Brake,Smallbore,Steady Rounds,Appended Mag,Tactical Mag,Extended Mag,Alloy Magazine,Flared Magwell,Accurized Rounds,Toxic Overload,Hand-Laid Stock,Composite Stock,37,13,99,,,,Fitted Stock,Short-Action Stock,Empty Catalyst Socket,Osteo Striga Catalyst,Osteo Striga Catalyst,Brilliant Bloom,Blooming Gilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286143274,THE HUCKLEBERRY,Exotic,Any,Kinetic,Submachine Gun,22,48,,56,0,49,100,33,750,,37,Ride the Bull,Fluted Barrel,Ricochet Rounds,Rampage,Short-Action Stock,The Devil's Work,Snakebite,,,,,,,,,,,,,,,,36,15,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833195496,AGER'S SCEPTER,Exotic,Any,Kinetic,Trace Rifle,6,69,,52,55,100,44,15,1000,,97,Ager's Call,Arrowhead Brake,Particle Repeater,Rega's Refrain,Hand-Laid Stock,Symbol of Rule,Springtime Scales,Cold Cheer,,,,,,,,,,,,,,,79,16,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4124984448,HARD LIGHT,Exotic,Any,Energy,Auto Rifle,21,40,,72,64,100,40,31,600,,49,Volatile Light,Polygonal Rifling,Alloy Magazine,The Fundamentals,Composite Stock,The Future is Chrome,Lethal System,Brumal Dawn,Foundational Structure,,,,,,,,,,,,,,65,16,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776191470,TOMMY'S MATCHBOOK,Exotic,Any,Energy,Auto Rifle,18,43,,58,20,81,56,26,720,,72,Ignition Trigger,Hammer-Forged Rifling,Extended Mag,Heat Sink,Hand-Laid Stock,The Chopper,,,,,,,,,,,,,,,,,44,16,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588934839,LE MONARQUE,Exotic,Any,Energy,Combat Bow,76,,,54,40,70,56,18,,,,Poison Arrows,Natural String,Compact Arrow Shaft,Snapshot Sights,Poison Wings Spread,Calyptra,,,,,,,,,,,,,,,,,46,18,78,73,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3260753130,TICUU'S DIVINATION,Exotic,Any,Energy,Combat Bow,68,,,66,60,79,65,23,,,,Sacred Flame,Tactile String,Straight Fletching,Causality Arrows,Hasta Solari,Ferromancer,Solar Astrolabe,,,,,,,,,,,,,,,,52,18,60,32,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814876685,TRINITY GHOUL,Exotic,Any,Energy,Combat Bow,80,,,53,50,74,52,24,,,,Split Electron,High Tension String,Compact Arrow Shaft,Lightning Rod,Tangled Outrider,Tertiary Objective,Spark from Bone,Three Glowing Dawns,,,,,,,,,,,,,,,50,18,77,80,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374573733,DELICATE TOMB,Exotic,Any,Energy,Fusion Rifle,55,29,,56,48,35,55,6,,500,6,Traitor's Vessel,Fluted Barrel,Liquid Coils,Tempest Cascade,Short-Action Stock,Avant-Garde Mausoleum,,,,,,,,,,,,,,,,,32,15,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417164956,J�TUNN,Exotic,Any,Energy,Fusion Rifle,95,47,,26,23,67,26,8,,820,5,Charge Shot,Volatile Launch,Liquid Coils,Shield Disorient,Polymer Grip,Dreamchaser,Muspell Populuxe,,,,,,,,,,,,,,,,23,15,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190156464,MERCILESS,Exotic,Any,Energy,Fusion Rifle,75,39,,41,43,69,55,15,,1000,8,Conserve Momentum,Chambered Compensator,Extended Mag,Impetus,Fitted Stock,Break the Dawn,Beachheader VI,,,,,,,,,,,,,,,,32,15,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208405142,TELESTO,Exotic,Any,Energy,Fusion Rifle,85,25,,52,80,46,55,9,,820,4,Unplanned Reprieve,Projection Fuse,Harbinger's Pulse,Polymer Grip,Reef in Ruins,Dread from Below,Long Live the Queen,,,,,,,,,,,,,,,,79,20,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4289226715,VEX MYTHOCLAST,Exotic,Any,Energy,Fusion Rifle,33,85,,50,60,75,40,19,390,,25,Timeless Mythoclast,Arrowhead Brake,Volatile Battery,Temporal Unlimiter,Hand-Laid Stock,The Untold Tale,Clast of Its Own,Infinite Gift,,,,,,,,,,,,,,,30,15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812324401,DEAD MESSENGER,Exotic,Any,Energy,Grenade Launcher,,,,40,50,78,70,6,72,,1,Trinary Vision,Quick Launch,High-Velocity Rounds,The Fundamentals,Short-Action Stock,Molten,,,,,,,,,,,,,,,,,27,13,73,,,73,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549153978,FIGHTING LION,Exotic,Any,Energy,Grenade Launcher,,,,80,0,80,0,12,90,,1,Delayed Gratification,Countermass,Implosion Rounds,Thin the Herd,Short-Action Stock,Jade Countenance,Lupus Visage,Prideglass,,,,,,,,,,,,,,,50,13,60,,,40,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524313097,ERIANA'S VOW,Exotic,Any,Energy,Hand Cannon,100,100,,23,24,80,0,9,90,,6,Looks Can Kill,Extended Barrel,Accurized Rounds,Death at First Glance,Polymer Grip,For Wei,Bound by Oath,,,,,,,,,,,,,,,,30,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907129557,SUNSHOT,Exotic,Any,Energy,Hand Cannon,80,31,,81,72,60,53,27,150,,12,Sunburn,Chambered Compensator,Accurized Rounds,Sun Blast,Textured Grip,Red Dwarf,Quark Star,Burning Red,,,,,,,,,,,,,,,40,14,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3761898871,LORENTZ DRIVER,Exotic,Any,Energy,Linear Fusion Rifle,41,38,,25,28,22,35,1,,533,6,Lagrangian Sight,Arrowhead Brake,Enhanced Battery,EM Anomaly,Composite Stock,Stable Prototype,Open Hands,,,,,,,,,,,,,,,,47,25,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505113722,COLLECTIVE OBLIGATION,Exotic,Any,Energy,Pulse Rifle,29,49,,41,41,67,58,26,390,,36,Void Leech,Arrowhead Brake,Flared Magwell,Umbral Sustenance,Hand-Laid Stock,In Finality,,,,,,,,,,,,,,,,,55,17,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628991658,GRAVITON LANCE,Exotic,Any,Energy,Pulse Rifle,29,50,,54,57,60,60,27,257,,31,Black Hole,Hammer-Forged Rifling,Accurized Rounds,Cosmology,Fitted Stock,Particle Accelerator,Carina Nebula,General Relativity,,,,,,,,,,,,,,,100,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413074534,POLARIS LANCE,Exotic,Any,Energy,Scout Rifle,67,70,,29,33,39,55,27,150,,14,The Perfect Fifth,Smallbore,Tactical Mag,Zen Moment,Fitted Stock,The Bray Legacy,IKELOS Field Tuning,,,,,,,,,,,,,,,,50,21,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4255268456,SKYBURNER'S OATH,Exotic,Any,Energy,Scout Rifle,67,70,,60,50,90,60,35,150,,17,Slug Rifle,Extended Barrel,Extended Mag,For the Empire,Short-Action Stock,Beware the Red Legion,Calus's Promise,Honor of the Empress,,,,,,,,,,,,,,,50,21,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017959782,SYMMETRY,Exotic,Any,Energy,Scout Rifle,45,20,,31,15,75,60,23,260,,20,Revolution,Hammer-Forged Rifling,Particle Repeater,Dynamic Charge,Composite Stock,Skyline Constellation,Binary System,,,,,,,,,,,,,,,,49,20,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460576091,DUALITY,Exotic,Any,Energy,Shotgun,80,70,,60,1,65,70,6,65,,6,Compression Chamber,Corkscrew Rifling,Alloy Magazine,On Black Wings,Short-Action Stock,Antiquity,Binary Function,,,,,,,,,,,,,,,,45,12,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413860063,LORD OF WOLVES,Exotic,Any,Energy,Shotgun,68,20,,40,80,80,100,4,640,,5,Shrapnel Launcher,Chambered Compensator,Extended Mag,Release the Wolves,Composite Stock,Packmaster's Command,Splice of Life,,,,,,,,,,,,,,,,39,12,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665952087,THE FOURTH HORSEMAN,Exotic,Any,Energy,Shotgun,80,22,,28,36,39,0,6,360,,4,Thunderer,Arrowhead Brake,Assault Mag,Broadside,Fitted Stock,Death Comes Calling,Pale Rider,,,,,,,,,,,,,,,,19,12,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3824106094,DEVIL'S RUIN,Exotic,Any,Energy,Sidearm,49,40,,49,15,56,64,23,300,1000,15,Close the Gap,Extended Barrel,Projection Fuse,Pyrogenesis,Combat Grip,Devil's Advocate,,,,,,,,,,,,,,,,,65,12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234150730,TRESPASSER,Exotic,Any,Energy,Sidearm,75,39,,53,33,70,50,29,491,,30,Unrepentant,Full Bore,Ricochet Rounds,Be the Danger,Smooth Grip,One False Step,,,,,,,,,,,,,,,,,85,12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
