weapon_id,Name,Rarity,Class,Element,Type,Impact,Range,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Magazine,Stability,Zoom,Recoil
706,THE MORNIN' COMES,Legendary,Any,Energy,Sniper Rifle,70.0,45.0,41.0,39.0,61.0,38.0,2.0,90.0,4.0,41.0,40.0,74.0
707,TROPHY HUNTER,Legendary,Any,Energy,Sniper Rifle,90.0,78.0,23.0,34.0,46.0,39.0,2.0,72.0,3.0,22.0,50.0,80.0
708,TWILIGHT OATH,Legendary,Any,Energy,Sniper Rifle,55.0,27.0,65.0,58.0,70.0,45.0,2.0,140.0,5.0,36.0,35.0,59.0
709,UZUME RR4,Legendary,Any,Energy,Sniper Rifle,70.0,60.0,46.0,45.0,67.0,50.0,3.0,90.0,4.0,48.0,50.0,75.0
710,UZUME RR4 (ADEPT),Legendary,Any,Energy,Sniper Rifle,70.0,60.0,46.0,45.0,67.0,50.0,3.0,90.0,4.0,48.0,50.0,75.0
711,VELEDA-D,Legendary,Any,Energy,Sniper Rifle,90.0,75.0,18.0,26.0,49.0,40.0,2.0,72.0,3.0,15.0,43.0,60.0
712,WIDOW'S BITE,Legendary,Any,Energy,Sniper Rifle,55.0,29.0,66.0,56.0,69.0,33.0,2.0,140.0,5.0,35.0,45.0,60.0
713,WIDOW'S BITE,Legendary,Any,Energy,Sniper Rifle,55.0,29.0,66.0,56.0,69.0,33.0,2.0,140.0,5.0,35.0,45.0,60.0
921,AACHEN-LR2,Rare,Any,Kinetic,Sniper Rifle,70.0,40.0,36.0,34.0,56.0,32.0,,90.0,4.0,36.0,40.0,50.0
964,AACHEN-LR2,Rare,Any,Energy,Sniper Rifle,70.0,40.0,36.0,34.0,56.0,32.0,,90.0,4.0,36.0,40.0,50.0
965,DAMIETTA-LR2,Rare,Any,Energy,Sniper Rifle,90.0,67.0,22.0,27.0,39.0,25.0,,72.0,3.0,17.0,43.0,64.0
966,DAMIETTA-LR2,Rare,Any,Energy,Sniper Rifle,90.0,67.0,22.0,27.0,39.0,25.0,,72.0,3.0,17.0,43.0,64.0
967,TONGEREN-LR3,Rare,Any,Energy,Sniper Rifle,55.0,25.0,62.0,52.0,66.0,28.0,,140.0,5.0,31.0,35.0,48.0
968,TONGEREN-LR3,Rare,Any,Energy,Sniper Rifle,55.0,25.0,62.0,52.0,66.0,28.0,,140.0,5.0,31.0,35.0,48.0
1015,LUNA NULLIS II,Common,Any,Energy,Sniper Rifle,55.0,25.0,59.0,51.0,64.0,27.0,,140.0,5.0,29.0,35.0,42.0
1016,TRONDHEIM-LR2,Common,Any,Energy,Sniper Rifle,90.0,65.0,18.0,26.0,38.0,20.0,,72.0,3.0,13.0,43.0,66.0
1017,TROUBADOUR,Common,Any,Energy,Sniper Rifle,70.0,40.0,36.0,33.0,55.0,27.0,,90.0,4.0,33.0,40.0,51.0
1039,DEAD ZONE RIFLE,Basic,Any,Energy,Sniper Rifle,70.0,38.0,34.0,34.0,51.0,28.0,,90.0,4.0,33.0,40.0,50.0
1080,DEFIANCE OF YASMIN,Legendary,Any,Kinetic,Sniper Rifle,70.0,54.0,46.0,42.0,68.0,35.0,,90.0,4.0,46.0,40.0,62.0
1081,DEFIANCE OF YASMIN,Legendary,Any,Kinetic,Sniper Rifle,70.0,54.0,46.0,42.0,68.0,35.0,,90.0,4.0,46.0,40.0,62.0
1082,DEFIANCE OF YASMIN (HARROWED),Legendary,Any,Kinetic,Sniper Rifle,70.0,54.0,46.0,42.0,68.0,35.0,,90.0,4.0,46.0,40.0,62.0
1083,LONG SHADOW,Legendary,Any,Kinetic,Sniper Rifle,70.0,44.0,40.0,40.0,59.0,32.0,,90.0,4.0,42.0,40.0,47.0
1084,PRAEDYTH'S REVENGE,Legendary,Any,Kinetic,Sniper Rifle,55.0,34.0,70.0,63.0,78.0,60.0,,140.0,5.0,40.0,49.0,55.0
1085,PRAEDYTH'S REVENGE (TIMELOST),Legendary,Any,Kinetic,Sniper Rifle,55.0,34.0,70.0,63.0,78.0,60.0,,140.0,5.0,40.0,49.0,55.0
1086,SUCCESSION,Legendary,Any,Kinetic,Sniper Rifle,90.0,76.0,29.0,33.0,42.0,50.0,,72.0,3.0,23.0,50.0,80.0
1087,TRANQUILITY,Legendary,Any,Kinetic,Sniper Rifle,70.0,47.0,47.0,36.0,61.0,40.0,,90.0,4.0,37.0,45.0,62.0
1131,MECHABRE,Legendary,Any,Energy,Sniper Rifle,90.0,74.0,26.0,30.0,41.0,45.0,5.0,72.0,3.0,28.0,45.0,77.0
